slug,companyURL,companyMembersURL,companyNameNAICS,LinkedIn Company Name,employeesCount,LinkedIn Company IDs
7-eleven-inc,https://www.linkedin.com/company/7-eleven-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%229602261%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,7 ELEVEN INC,7 Eleven INC,963,9602261
avantus,https://www.linkedin.com/company/avantus,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22266393%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,8 MINUTE SOLAR ENERGY LLC,Avantus,199,266393
85sixty,https://www.linkedin.com/company/85sixty,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222949451%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,85SIXTY,85SIXTY,91,2949451
9dots-management-corp,https://www.linkedin.com/company/9dots-management-corp,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2296734%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,9DOTS TECHNOLOGY INC,"9Dots Management Corp, LLC",29,96734
9edge-inc-,https://www.linkedin.com/company/9edge-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%224817539%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,9EDGE INC,9EDGE Inc.,54,4817539
9to9-software-solutions,https://www.linkedin.com/company/9to9-software-solutions,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228975760%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,9TO9 SOFTWARE SOLUTIONS LLC,9to9 Software Solutions LLC,45,8975760
a1rehab-and-recruitment-services,https://www.linkedin.com/company/a1rehab-and-recruitment-services,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2218397431%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A 1 REHAB & RECRUITMENT SVCS INC,A-1 Rehab and Recruitment Services,8,18397431
aenetworks,https://www.linkedin.com/company/aenetworks,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222811769%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A E TELEVISION NETWORKS LLC,A+E Networks,2537,2811769
a-farkas-law,https://www.linkedin.com/company/a-farkas-law,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2279295336%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A FARKAS LLC,"A. Farkas, Attorneys at Law",4,79295336
milstein-law-group-pllc,https://www.linkedin.com/company/milstein-law-group-pllc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2225041056%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A MILSTEIN LAW GROUP PLLC,Milstein Law Group,10,25041056
a-p-ventures-llc,https://www.linkedin.com/company/a-p-ventures-llc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221358371%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A P VENTURES LLC,"A P Ventures, LLC (APV)",67,1358371
a-place-for-mom,https://www.linkedin.com/company/a-place-for-mom,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2232380%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A PLACE FOR MOM INC,A Place for Mom,1729,32380
a-t--kearney,https://in.linkedin.com/company/a-t--kearney,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222196%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A T KEARNEY INC,Kearney,9664,2196
a-team-cargo-logistics-intl-inc,https://www.linkedin.com/company/a-team-cargo-logistics-intl-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222927914%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A TEAM LOGISTICS GROUP INC,A TEAM CARGO LOGISTICS INTL INC,2,2927914
an-consultinggroup,https://www.linkedin.com/company/an-consultinggroup,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2230581380%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A&N GROUP INC,"A&N Consulting Group, Inc.",4,30581380
a10networks,https://www.linkedin.com/company/a10networks,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22525424%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A10 NETWORKS INC,"A10 Networks, Inc",734,525424
a123-systems,https://www.linkedin.com/company/a123-systems,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2234507%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A123 SYSTEMS LLC,A123 Systems,562,34507
a4-media-group,https://www.linkedin.com/company/a4-media-group,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2264954588%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A4 MEDIA LLC,A4 Media Group,2,64954588
a9-com,https://www.linkedin.com/company/a9-com,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2216551%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,A9 COM INC,A9.com,199,16551
aa-tech-group,https://www.linkedin.com/company/aa-tech-group,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2211486377%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,AA TECH GROUP LLC,AA TECH GROUP LLC,46,11486377
aaa-texas,https://www.linkedin.com/company/aaa-texas,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2238422%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,AAA TEXAS LLC,AAA Texas,901,38422
aadya-life-science,https://www.linkedin.com/company/aadya-life-science,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221062302%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,AADYA BIO ANALYTICS SERVICES LLC,Aadya Life Science LLP,11,1062302
devwerx,https://www.linkedin.com/company/devwerx,https://www.linkedin.com/search/results/people/?currentCompany=%5B%226429364%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,AARNAV IT CONSULTING LLC,DevWerx,2,6429364
axis-group,https://www.linkedin.com/company/axis-group,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2232388%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,AAXIS GROUP CORP,Axis Group,256,32388
ab-ovo_2,https://www.linkedin.com/company/ab-ovo_2,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221051792%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,"AB OVO, INC.","Ab Ovo, Inc.",14,1051792
stargroupamericallc,https://www.linkedin.com/company/stargroupamericallc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2211091680%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,AB STAR GROUP,"STAR Group America, LLC",6,11091680
abacusai,https://www.linkedin.com/company/abacusai,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2219205405%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABACUS AI INC,Abacus.AI,88,19205405
abacus-data-systems-inc.,https://www.linkedin.com/company/abacus-data-systems-inc.,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2216075191%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABACUS DATA SYSTEMS INC,"Abacus Data Systems, Inc.",10,16075191
abal-technologies-inc,https://www.linkedin.com/company/abal-technologies-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222594735%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABAL TECHNOLOGIES INC,"ABAL Technologies, Inc",89,2594735
abb,https://www.linkedin.com/company/abb/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22277579%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABB INC,ABB,97377,277579
abbott-,https://www.linkedin.com/company/abbott-/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221612%22%2C%2278895%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABBOTT LABORATORIES,Abbott,148203,1612|78895
abbvie,https://in.linkedin.com/company/abbvie,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221304385%22%2C%2225163%22%2C%2218856871%22%2C%224832%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABBVIE US LLC AN ABBVIE COMPANY,AbbVie,49580,1304385|25163|18856871|4832
abc-supply,https://www.linkedin.com/company/abc-supply,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2253971%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABC SUPPLY CORPORATION INC,ABC Supply Co. Inc.,5697,53971
abd-insurance-&-financial-serv,https://www.linkedin.com/company/abd-insurance-&-financial-serv,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2262776196%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABD INSURANCE AND FINANCIAL SERVICES INC,ABD INSURANCE & FINANCIAL SERV,20,62776196
abercrombie-&-fitch,https://www.linkedin.com/company/abercrombie-&-fitch,https://www.linkedin.com/search/results/people/?currentCompany=%5B%225410%22%2C%2215092068%22%2C%221294973%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABERCROMBIE & FITCH MANAGEMENT CO,Abercrombie & Fitch Co.,20170,5410|15092068|1294973
aberdeen-broadcast-services,https://www.linkedin.com/company/aberdeen-broadcast-services,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22287762%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABERDEEN CAPTIONING INC,Aberdeen Broadcast Services,32,287762
abhay-solutions-inc,https://www.linkedin.com/company/abhay-solutions-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2213288473%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABHYANTH SOLUTIONS INC,Abhay Solutions Inc,28,13288473
abington-memorial,https://www.linkedin.com/company/abington-memorial,https://www.linkedin.com/search/results/people/?currentCompany=%5B%229102609%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABINGTON MEMORIAL HOSPITAL,Abington Memorial,14,9102609
abiomed,https://www.linkedin.com/company/abiomed,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2215602%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABIOMED INC,Abiomed,1828,15602
abiosciences-limited,https://www.linkedin.com/company/abiosciences-limited,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2240811046%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABIOSCIENCES INC,Abiosciences,33,40811046
